epoch,mag,mag_err,weight,curve_idx
2459182.3299,13.016,0.057,1.0,0
2459182.33027,12.96,0.06,1.0,0
2459182.33064,12.987,0.063,1.0,0
2459182.33101,13.047,0.07,1.0,0
2459182.33138,13.104,0.07,1.0,0
2459182.33175,13.121,0.066,1.0,0
2459182.33212,13.033,0.058,1.0,0
2459182.33248,13.116,0.081,1.0,0
2459182.3347,13.182,0.065,1.0,0
2459182.33507,13.212,0.064,1.0,0
2459182.33544,13.254,0.069,1.0,0
2459182.33581,13.331,0.074,1.0,0
2459182.33619,13.217,0.059,1.0,0
2459182.33656,13.437,0.078,1.0,0
2459182.33693,13.286,0.062,1.0,0
2459182.3373,13.2,0.062,1.0,0
2459182.33767,13.414,0.076,1.0,0
2459182.33804,13.304,0.067,1.0,0
2459182.33841,13.389,0.073,1.0,0
2459182.33878,13.319,0.069,1.0,0
2459182.33915,13.431,0.073,1.0,0
2459182.33952,13.456,0.074,1.0,0
2459182.33989,13.299,0.066,1.0,0
2459182.34026,13.448,0.074,1.0,0
2459182.34063,13.441,0.074,1.0,0
2459182.34099,13.393,0.072,1.0,0
2459182.3421,13.464,0.073,1.0,0
2459182.34247,13.569,0.084,1.0,0
2459182.34284,13.466,0.074,1.0,0
2459182.34395,13.331,0.067,1.0,0
2459182.34432,13.378,0.069,1.0,0
2459182.34469,13.512,0.079,1.0,0
2459182.34506,13.431,0.07,1.0,0
2459182.34543,13.406,0.072,1.0,0
2459182.3458,13.393,0.065,1.0,0
2459182.34617,13.489,0.074,1.0,0
2459182.3469,13.398,0.07,1.0,0
2459182.3469,13.387,0.068,1.0,0
2459182.34727,13.351,0.061,1.0,0
2459182.34764,13.493,0.073,1.0,0
2459182.3495,13.428,0.065,1.0,0
2459182.34987,13.385,0.061,1.0,0
2459182.35024,13.256,0.055,1.0,0
2459182.35098,13.419,0.066,1.0,0
2459182.35246,13.409,0.067,1.0,0
2459182.35282,13.33,0.063,1.0,0
2459182.35319,13.382,0.066,1.0,0
2459182.35356,13.299,0.062,1.0,0
2459182.3543,13.246,0.059,1.0,0
2459182.35467,13.254,0.058,1.0,0
2459182.35467,13.267,0.059,1.0,0
2459182.35541,13.297,0.064,1.0,0
2459182.35615,13.197,0.053,1.0,0
2459182.35652,13.372,0.062,1.0,0
2459182.35726,13.38,0.061,1.0,0
2459182.35763,13.39,0.061,1.0,0
2459182.35911,13.263,0.052,1.0,0
2459182.35948,13.293,0.055,1.0,0
2459182.36022,13.22,0.052,1.0,0
2459182.3606,13.313,0.055,1.0,0
2459182.36097,13.21,0.051,1.0,0
2459182.36134,13.309,0.059,1.0,0
2459182.36171,13.304,0.056,1.0,0
